JS203-16-B01_01  Revised: Wednesday, May 08, 2019
JS203-16-B01_01          Revision: 1







Bill Of Materials            May 8,2019      1:32:23	Page1

Item	Quantity	PCB Footprint	Value	Reference
______________________________________________

1	12	C0603QR	0.1uF	C1,C2,C5,C7,C9,C10,C15,
				C17,C19,C22,C25,C28
2	2	C0805QR	10uF/0805	C13,C3
3	2	C1206QR	100uF/1206	C37,C4
4	2	C0603QR	12P	C6,C8
5	1	C1206QR	47uF/1206	C11
6	1	C0603QR	1uF	C12
7	2	C0805QR	106	C16,C14
8	3	C0805QR	106/0805	C18,C24,C29
9	7	C0603QR	100pF	C20,C27,C31,C35,C45,C47,
				C50
10	4	C1206QR	100uF	C21,C23,C38,C39
11	1	C1206QR	476	C26
12	4	C0805QR	10uF	C30,C32,C33,C34
13	1	C1206QR	10uF/1206	C36
14	1	C0603QR	104	C40
15	5	C0603QR	105	C41,C44,C46,C48,C49
16	1	C0603QR	103	C42
17	1	C0603QR	474	C43
18	2	C1206QR	47uF	C51,C52
19	1	C1206QR	1000uF	C53
20	1	C1206QR	10uF	C54
21	3	LED-0603Q	Green	D1,D2,D10
22	5	D0603Q	6V	D3,D4,D5,D7,D8
23	1	D-DO214AC-SMA	SS24	D9
24	1	LED-0603Q	Red	D11
25	1	RJ45-8PIN-20310	RJ45	J1
26	1	CONN-20X2H(414MIL)	CON20X2 2.54D	J2
27	1	CON-5X2-2.0-DLD	CON5X2 2.0D	J3
28	1	CON-3X1-2.0D-JS1125	CON3X1 2.0D	J4
29	2	CON-4X1-2.0D-JS1125	CON4X1 2.0D	J7,J5
30	1	CON-2X1-2.0D-JS1125	CON2X1 2.0D	J6
31	1	CON-3X1-2.54-CJR	CON3X1 2.54D	J8
32	1	L0603QR	100nH	L1
33	5	L0603QR	47nH	L2,L3,L4,L5,L6
34	2	L-SLF7045T	3.3uH	L8,L7
35	6	R0603Q	330R	R1,R2,R29,R34,R63,R64
36	4	R0603Q	51R	R3,R4,R5,R7
37	4	R0603Q	75R	R6,R8,R9,R10
38	1	R0603Q	2.32K	R11
39	13	R0603Q	10k	R12,R13,R42,R43,R45,R48,
				R49,R51,R52,R53,R56,R59,
				R61
40	18	R0603Q	OPEN	R14,R15,R17,R18,R19,R24,
				R25,R30,R35,R37,R44,R46,
				R47,R54,R55,R57,R58,R60
41	6	R0603Q	0R	R16,R21,R23,R26,R27,R36
42	2	R0603Q	22R	R20,R22
43	2	R0603Q	200k	R33,R28
44	2	R0603Q	33R	R31,R32
45	3	R0603Q	1k	R38,R40,R50
46	2	R0603Q	6.8k	R39,R41
47	1	R0603Q	0R/1206	R62
48	1	SSOP28	ENC28J60	U1
49	1	SPM44-11BP	SPM44-11BP	U2
50	1	TQFP48	CM6533	U3
51	1	SOT89	HT7533	U4
52	1	QFN56-8X8	MAX9708	U5
53	1	X-O3225	25MHz	Y1
