P-CAD Pick and Place Locations     D:\lay-data\...\JS203-16-B01_01.pcb

======================================================================

Report Origin = (0.0, 0.0)
Units used = mil
RefDes          PatternName     Type            Value           Layer           LocationX  LocationY  Rotation
--------------- --------------- --------------- --------------- --------------- ---------- ---------- --------

C1              C0603QR         C0603QR         0.1uF           Top                 6405.0     5405.0     90.0
C2              C0603QR         C0603QR         0.1uF           Bottom              5290.0     4820.0    180.0
C3              C0805QR         C0805QR         10uF            Top                 6300.0     5770.0      0.0
C4              C1206QR         C1206QR         100uF           Top                 4085.0     5895.0      0.0
C5              C0603QR         C0603QR         0.1uF           Top                 6405.0     5555.0     90.0
C6              C0603QR         C0603QR         12pF            Top                 6175.0     5180.0    270.0
C7              C0603QR         C0603QR         0.1uF           Top                 6100.0     5780.0    270.0
C8              C0603QR         C0603QR         12pF            Top                 5995.0     5180.0    270.0
C9              C0603QR         C0603QR         0.1uF           Bottom              5290.0     4570.0      0.0
C10             C0603QR         C0603QR         0.1uF           Top                 5895.0     5410.0    270.0
C11             C1206QR         C1206QR         47uF            Top                 5060.0     5730.0     90.0
C12             C0603QR         C0603QR         1uF             Top                 5205.0     5700.0    180.0
C13             C0805QR         C0805QR         10uF            Top                 5200.0     5775.0    180.0
C14             C0805QR         C0805QR         106             Top                 4955.0     5140.0    180.0
C15             C0603QR         C0603QR         0.1uF           Bottom              4960.0     5140.0      0.0
C16             C0805QR         C0805QR         106             Top                 5380.0     5155.0      0.0
C17             C0603QR         C0603QR         0.1uF           Bottom              5380.0     5155.0    180.0
C18             C0805QR         C0805QR         106             Top                 4955.0     5230.0    180.0
C19             C0603QR         C0603QR         0.1uF           Bottom              4960.0     5230.0      0.0
C20             C0603QR         C0603QR         100pF           Top                 4755.0     4270.0      0.0
C21             C1206QR         C1206QR         100uF           Top                 4755.0     4675.0    270.0
C22             C0603QR         C0603QR         0.1uF           Bottom              4955.0     5380.0      0.0
C23             C1206QR         C1206QR         100uF           Top                 4720.0     5680.0     90.0
C24             C0805QR         C0805QR         106             Top                 4955.0     5320.0    180.0
C25             C0603QR         C0603QR         0.1uF           Top                 4965.0     5685.0     90.0
C26             C1206QR         C1206QR         476             Top                 4985.0     5565.0    180.0
C27             C0603QR         C0603QR         100pF           Top                 4410.0     5685.0    180.0
C28             C0603QR         C0603QR         0.1uF           Top                 4955.0     5395.0    180.0
C29             C0805QR         C0805QR         106             Top                 4955.0     5470.0    180.0
C30             C0805QR         C0805QR         10uF            Bottom              4900.0     4420.0    270.0
C31             C0603QR         C0603QR         100pF           Top                 4895.0     4270.0    180.0
C32             C0805QR         C0805QR         10uF            Top                 4865.0     4580.0    270.0
C33             C0805QR         C0805QR         10uF            Top                 5090.0     4595.0     90.0
C34             C0805QR         C0805QR         10uF            Top                 5090.0     4415.0    270.0
C35             C0603QR         C0603QR         100pF           Top                 5120.0     4270.0      0.0
C36             C1206QR         C1206QR         10uF            Bottom              4410.0     4885.0     90.0
C37             C1206QR         C1206QR         100uF           Bottom              4270.0     4975.0     90.0
C38             C1206QR         C1206QR         100uF           Bottom              4300.0     4545.0     90.0
C39             C1206QR         C1206QR         100uF           Bottom              4410.0     4650.0    270.0
