P-CAD Pick and Place Locations     D:\lay-data\...\JS203-16-C01_02.pcb

======================================================================

Report Origin = (0.0, 0.0)
Units used = mil
RefDes          PatternName     Type            Value           Layer           LocationX  LocationY  Rotation
--------------- --------------- --------------- --------------- --------------- ---------- ---------- --------

C1              C0603QR         C0603QR         0.1uF           Bottom             16545.0     6035.0      0.0
C2              C0603QR         C0603QR         0.1uF           Bottom             16560.0     5835.0    180.0
C3              C0603QR         C0603QR         0.1uF           Bottom             16240.0     5550.0    180.0
C4              C0603QR         C0603QR         0.1uF           Bottom             16100.0     5550.0    180.0
C5              C0603QR         C0603QR         0.1uF           Bottom             15825.0     5710.0    270.0
C6              C0603QR         C0603QR         0.1uF           Bottom             16110.0     6170.0    180.0
C7              C0603QR         C0603QR         12pF            Bottom             15705.0     5685.0     90.0
C8              C0603QR         C0603QR         12pF            Bottom             15745.0     5990.0    270.0
C9              C0603QR         C0603QR         0.1uF           Bottom             16135.0     7180.0    270.0
C10             C0603QR         C0603QR         0.1uF           Bottom             11990.0     7205.0     90.0
C11             C0603QR         C0603QR         0.1uF           Bottom             12040.0     7810.0    270.0
C12             C0603QR         C0603QR         0.1uF           Bottom             12725.0     7520.0    270.0
C13             C0603QR         C0603QR         0.1uF           Bottom             12785.0     6315.0     90.0
C14             C0603QR         C0603QR         0.1uF           Bottom             14565.0     5765.0     90.0
C15             C0603QR         C0603QR         0.1uF           Bottom             15795.0     6465.0    180.0
C16             C0603QR         C0603QR         0.1uF           Bottom             12010.0     5715.0     90.0
C17             C0603QR         C0603QR         0.1uF           Bottom             14720.0     7725.0    270.0
C18             C1206QR         C1206QR         22uF            Bottom             16425.0     8630.0    270.0
C19             C1206QR         C1206QR         22uF            Bottom             16320.0     8630.0    270.0
C20             C1206QR         C1206QR         22uF            Bottom             15725.0     8630.0    270.0
C21             C1206QR         C1206QR         22uF            Bottom             15835.0     8630.0    270.0
C22             C1206QR         C1206QR         22uF            Bottom             15825.0     6195.0    180.0
D1              MELF-DQ         MELF-DQ         DIODE           Bottom             16760.0     7595.0    270.0
D2              MELF-DQ         MELF-DQ         DIODE           Bottom             16820.0     6800.0    270.0
D3              MELF-DQ         MELF-DQ         DIODE           Bottom             16775.0     5990.0    270.0
D4              MELF-DQ         MELF-DQ         DIODE           Bottom             16460.0     5470.0     90.0
D5              MELF-DQ         MELF-DQ         DIODE           Bottom             16665.0     5990.0    270.0
LED1            LED-0805Q       LED-0805Q       RED             Top                11555.1     8647.7      0.0
LED2            LED-0805Q       LED-0805Q       RED             Top                12224.6     8647.8      0.0
LED3            LED-0805Q       LED-0805Q       RED             Top                12893.7     8647.7      0.0
LED4            LED-0805Q       LED-0805Q       RED             Top                13563.0     8647.7      0.0
LED5            LED-0805Q       LED-0805Q       RED             Top                14232.3     8647.7      0.0
LED6            LED-0805Q       LED-0805Q       RED             Top                14901.6     8647.7      0.0
LED7            LED-0805Q       LED-0805Q       RED             Top                15570.9     8647.7      0.0
LED8            LED-0805Q       LED-0805Q       RED             Top                16240.2     8647.7      0.0
LED9            LED-0805Q       LED-0805Q       GREEN           Top                11555.1     8576.9      0.0
